Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,Category,Product_Name,Sales,Quantity,Discount,Profit,Ship_Mode
ORD-10014,2024-08-03,2024-08-04,CUST-2403,Jacqueline Campbell,Home Office,West,Technology,Laptop,4646.91,5,0.1,67.29,Standard Class
ORD-10015,2024-09-13,2024-09-17,CUST-4470,Jennifer Patterson,Home Office,South,Office Supplies,Pen,659.39,8,0.1,43.69,First Class
ORD-10016,2023-08-19,2023-08-20,CUST-6539,Joe Preston,Consumer,South,Furniture,Bookshelf,2201.74,9,0.3,-153.57,Second Class
ORD-10017,2023-02-02,2023-02-09,CUST-6413,Amanda Harrington,Consumer,South,Technology,Laptop,3545.05,1,0.1,59.73,First Class
ORD-10018,2024-04-29,2024-05-06,CUST-7669,Eric Murray,Consumer,North,Office Supplies,Stapler,1086.9,3,0.3,-42.66,Standard Class
ORD-10019,2023-02-25,2023-03-03,CUST-2612,Gloria Rojas DDS,Consumer,West,Office Supplies,Stapler,1784.4,7,0.3,206.92,First Class
ORD-10020,2023-07-07,2023-07-10,CUST-8579,Kristina Wang,Consumer,North,Technology,Monitor,974.12,9,0.3,-63.27,Same Day
ORD-10021,2023-08-31,2023-09-02,CUST-7658,Sheila Ashley,Corporate,West,Office Supplies,Notebook,271.93,9,0.0,79.47,Second Class
ORD-10022,2024-04-10,2024-04-13,CUST-7930,Shannon Woods,Home Office,West,Furniture,Chair,839.89,1,0.3,-28.3,Second Class
ORD-10023,2023-02-28,2023-03-01,CUST-8811,Matthew Patel,Home Office,South,Technology,Keyboard,1104.15,1,0.0,261.68,Standard Class
ORD-10024,2023-08-29,2023-09-02,CUST-2964,Carrie Brewer,Home Office,South,Office Supplies,Notebook,4259.69,2,0.0,932.03,Standard Class
ORD-10025,2023-07-29,2023-08-04,CUST-6147,Roger Ross,Consumer,East,Office Supplies,Notebook,2107.74,10,0.2,387.14,Same Day
ORD-10026,2024-07-30,2024-07-31,CUST-2200,Jill Anderson,Home Office,South,Technology,Keyboard,2296.98,2,0.0,378.02,First Class
ORD-10027,2024-03-24,2024-03-31,CUST-9900,Kerry Savage,Home Office,East,Technology,Keyboard,4406.7,4,0.2,93.63,Standard Class
ORD-10028,2023-04-20,2023-04-26,CUST-3546,Sean Williams,Corporate,East,Office Supplies,Folder,1510.91,2,0.1,99.9,Second Class
ORD-10029,2023-02-22,2023-02-23,CUST-7939,Tyler Bennett,Corporate,North,Office Supplies,Paper,1033.91,5,0.3,-38.48,Standard Class
ORD-10030,2024-07-18,2024-07-24,CUST-8007,Ryan Nichols,Home Office,North,Furniture,Table,3192.82,5,0.1,591.65,Standard Class
ORD-10031,2023-02-12,2023-02-15,CUST-6974,Scott Smith,Consumer,East,Technology,Monitor,2737.04,6,0.1,294.09,Second Class
ORD-10032,2023-06-08,2023-06-10,CUST-3662,Mathew Wallace,Consumer,West,Office Supplies,Pen,3341.33,6,0.3,479.34,Standard Class
ORD-10033,2024-12-19,2024-12-20,CUST-7267,Rose Brown,Consumer,West,Technology,Keyboard,3916.28,7,0.1,261.22,Second Class
ORD-10034,2023-07-17,2023-07-21,CUST-6378,Daniel Clark,Corporate,North,Technology,Mouse,1761.3,4,0.1,10.42,First Class
ORD-10035,2023-04-29,2023-05-02,CUST-3925,Jamie Klein,Home Office,East,Furniture,Desk,2010.4,9,0.2,371.54,Standard Class
ORD-10036,2024-06-07,2024-06-08,CUST-7311,Sharon Hart,Home Office,South,Technology,Printer,2184.13,6,0.3,112.6,First Class
ORD-10037,2023-03-13,2023-03-19,CUST-6409,Emma Bishop,Home Office,East,Technology,Mouse,28.42,9,0.1,2.59,Standard Class
ORD-10038,2023-10-30,2023-11-04,CUST-3085,Patricia Castillo,Consumer,West,Office Supplies,Paper,2545.47,7,0.2,128.8,Same Day
ORD-10039,2023-01-01,2023-01-04,CUST-5700,Brittney Benjamin,Consumer,West,Office Supplies,Pen,3085.26,5,0.3,114.11,First Class
ORD-10040,2023-06-23,2023-06-29,CUST-2389,Terry Perkins,Corporate,East,Furniture,Sofa,2221.96,4,0.3,218.72,Standard Class
ORD-10041,2023-09-08,2023-09-12,CUST-2193,Adrienne Burns,Corporate,West,Technology,Keyboard,1138.71,4,0.1,6.95,Second Class
ORD-10042,2023-01-06,2023-01-13,CUST-2746,Greg Chavez,Corporate,South,Office Supplies,Stapler,2482.0,4,0.1,407.08,Second Class
ORD-10043,2023-05-05,2023-05-09,CUST-3184,Gary Wilson,Corporate,East,Office Supplies,Folder,2333.46,9,0.1,535.22,Same Day
ORD-10044,2024-05-01,2024-05-05,CUST-5246,Angela Rodriguez,Consumer,East,Office Supplies,Folder,2145.17,9,0.3,266.65,Same Day
ORD-10045,2023-12-10,2023-12-13,CUST-9849,Caroline Griffin,Consumer,South,Office Supplies,Pen,1387.5,2,0.2,11.96,Second Class
ORD-10046,2023-12-05,2023-12-10,CUST-8633,Jeremy Cox,Corporate,North,Technology,Mouse,3475.87,4,0.0,534.3,Second Class
ORD-10047,2024-08-12,2024-08-16,CUST-8814,Craig Hudson,Consumer,East,Furniture,Sofa,4526.1,10,0.0,1195.72,First Class
ORD-10048,2023-10-07,2023-10-11,CUST-8956,Edwin Terrell,Consumer,West,Furniture,Sofa,2700.34,9,0.1,329.6,First Class
ORD-10049,2024-06-30,2024-07-01,CUST-7455,Melissa Powers,Home Office,North,Office Supplies,Stapler,3626.42,8,0.1,889.13,Standard Class
ORD-10050,2024-01-24,2024-01-27,CUST-4467,Zoe Coffey,Corporate,East,Office Supplies,Stapler,695.78,8,0.1,8.75,First Class
ORD-10051,2024-04-26,2024-04-27,CUST-9837,Bobby Greene,Consumer,East,Furniture,Bookshelf,3765.01,7,0.2,597.61,Second Class
ORD-10052,2023-07-24,2023-07-31,CUST-1333,Benjamin Martinez,Home Office,South,Office Supplies,Notebook,3910.54,1,0.0,1123.9,Second Class
ORD-10053,2023-09-20,2023-09-27,CUST-7043,Dean Smith,Consumer,North,Technology,Mouse,3353.91,10,0.1,389.92,Second Class
ORD-10054,2023-07-23,2023-07-24,CUST-4978,Patrick Hernandez,Consumer,East,Furniture,Chair,2901.85,5,0.3,-2.43,Standard Class
ORD-10055,2024-10-25,2024-10-28,CUST-1207,Randy Jackson,Corporate,West,Office Supplies,Notebook,1749.07,7,0.2,-57.3,Standard Class
ORD-10056,2024-06-18,2024-06-24,CUST-5425,Veronica Walker,Home Office,West,Furniture,Bookshelf,3185.21,8,0.1,346.78,Same Day
ORD-10057,2024-04-06,2024-04-08,CUST-8613,Lindsey Randolph,Home Office,West,Furniture,Desk,1356.61,4,0.0,162.43,First Class
ORD-10058,2023-09-22,2023-09-25,CUST-5581,Dr. Kevin Brooks,Home Office,East,Technology,Mouse,4257.75,3,0.3,-199.99,Standard Class
ORD-10059,2023-09-04,2023-09-10,CUST-8800,Breanna Cohen,Home Office,West,Office Supplies,Pen,446.35,7,0.3,17.32,Same Day
ORD-10060,2024-08-18,2024-08-21,CUST-8753,Ian Young,Home Office,East,Technology,Laptop,1485.29,7,0.1,113.7,Same Day
ORD-10061,2023-08-25,2023-08-26,CUST-4155,Brandon Phillips,Corporate,North,Office Supplies,Folder,1667.34,8,0.2,44.44,Second Class
ORD-10062,2023-07-18,2023-07-21,CUST-4727,Susan Lee,Corporate,South,Technology,Monitor,3698.25,5,0.2,721.63,First Class
ORD-10063,2024-12-15,2024-12-17,CUST-9042,Nichole Martinez,Consumer,North,Technology,Printer,650.38,1,0.0,122.49,First Class
ORD-10064,2024-05-04,2024-05-05,CUST-2070,Shelley Jimenez,Corporate,West,Furniture,Sofa,2213.53,3,0.0,250.39,Standard Class
ORD-10065,2023-09-12,2023-09-13,CUST-7818,William Campos,Home Office,South,Office Supplies,Notebook,775.6,10,0.2,-22.26,Same Day
ORD-10066,2024-09-27,2024-09-28,CUST-2625,Derrick Gonzalez,Consumer,South,Furniture,Sofa,1500.82,10,0.3,-35.5,First Class
ORD-10067,2024-02-23,2024-02-27,CUST-8699,Christopher Hughes,Corporate,North,Office Supplies,Notebook,802.14,3,0.0,71.5,Second Class
ORD-10068,2023-09-28,2023-10-05,CUST-4241,Megan Summers,Corporate,North,Furniture,Bookshelf,3520.88,8,0.0,781.09,Second Class
ORD-10069,2023-11-11,2023-11-16,CUST-5728,Rebecca Thompson,Corporate,North,Office Supplies,Pen,4543.89,3,0.0,294.94,Same Day
ORD-10070,2024-09-04,2024-09-05,CUST-8078,Lori Brown,Home Office,East,Office Supplies,Paper,3504.67,5,0.3,33.08,First Class
ORD-10071,2024-11-19,2024-11-26,CUST-5415,Gary Miller,Home Office,North,Technology,Laptop,1160.04,10,0.0,347.89,Second Class
ORD-10072,2024-03-22,2024-03-28,CUST-9056,Mr. Raymond Powell II,Consumer,West,Furniture,Desk,3264.52,5,0.1,813.64,First Class
ORD-10073,2024-12-11,2024-12-15,CUST-5722,Ruben Hall,Home Office,West,Furniture,Bookshelf,1618.87,2,0.1,133.48,Standard Class
ORD-10074,2024-02-18,2024-02-25,CUST-9431,Billy Sparks II,Consumer,West,Furniture,Chair,1586.3,6,0.0,464.07,Same Day
ORD-10075,2023-02-22,2023-02-24,CUST-5375,Laura Harris,Home Office,South,Technology,Monitor,2601.83,10,0.3,146.62,First Class
ORD-10076,2023-11-15,2023-11-20,CUST-1224,Nancy Rhodes,Home Office,West,Furniture,Sofa,624.7,10,0.1,110.85,Standard Class
ORD-10077,2023-10-26,2023-10-31,CUST-5479,Stacy Williams,Corporate,West,Technology,Laptop,2318.01,2,0.1,288.81,Same Day
ORD-10078,2024-06-04,2024-06-10,CUST-3236,Joseph Smith,Consumer,East,Technology,Mouse,2765.3,7,0.1,637.31,Same Day
ORD-10079,2024-08-24,2024-08-29,CUST-9022,Anthony Johnson,Consumer,West,Furniture,Desk,1350.52,1,0.2,177.61,Same Day
ORD-10080,2023-11-26,2023-12-03,CUST-4090,Tina Castro,Home Office,South,Furniture,Bookshelf,2768.55,9,0.3,38.31,Same Day
ORD-10081,2024-11-10,2024-11-17,CUST-3492,Karen Blackburn,Corporate,North,Technology,Mouse,237.36,8,0.3,-0.83,Second Class
ORD-10082,2024-04-12,2024-04-13,CUST-3361,John Kerr,Corporate,South,Office Supplies,Folder,1673.33,2,0.3,-125.62,Standard Class
ORD-10083,2024-11-21,2024-11-28,CUST-9742,Laura Anderson,Corporate,East,Furniture,Bookshelf,1706.03,7,0.0,448.59,Same Day
ORD-10084,2023-04-03,2023-04-07,CUST-2612,Jennifer Wolfe,Home Office,North,Office Supplies,Notebook,3094.95,4,0.2,617.0,Same Day
ORD-10085,2023-10-28,2023-10-31,CUST-7141,Mark Rogers,Corporate,South,Technology,Keyboard,4519.05,1,0.2,673.5,Second Class
ORD-10086,2024-09-16,2024-09-23,CUST-7267,Christopher Johnson,Home Office,South,Office Supplies,Stapler,2838.32,3,0.1,124.23,Same Day
ORD-10087,2023-01-10,2023-01-17,CUST-8622,Sherri Diaz,Corporate,South,Office Supplies,Pen,1176.3,5,0.3,-42.54,Standard Class
ORD-10088,2024-04-12,2024-04-19,CUST-5949,Lauren Charles,Consumer,West,Furniture,Bookshelf,4938.51,5,0.3,358.43,Same Day
ORD-10089,2023-10-30,2023-10-31,CUST-7484,Hannah Ortiz,Corporate,North,Technology,Monitor,1919.19,6,0.2,380.33,Standard Class
ORD-10090,2023-12-27,2023-12-29,CUST-4115,Richard Hernandez,Home Office,East,Office Supplies,Stapler,4167.54,5,0.1,632.49,Second Class
ORD-10091,2023-02-04,2023-02-09,CUST-6977,Alison Alvarez,Home Office,South,Office Supplies,Notebook,4518.95,1,0.2,664.98,Standard Class
ORD-10092,2024-07-06,2024-07-09,CUST-9697,Mark Thompson,Home Office,East,Furniture,Bookshelf,3742.45,3,0.1,123.65,Second Class
ORD-10093,2024-04-24,2024-04-25,CUST-3306,Jamie Rocha,Consumer,West,Furniture,Sofa,4837.57,5,0.2,730.75,First Class
ORD-10094,2024-11-19,2024-11-25,CUST-5295,William Flores,Home Office,West,Technology,Mouse,89.31,9,0.0,14.62,First Class
ORD-10095,2023-08-15,2023-08-21,CUST-2035,Mr. Jose Sanchez,Home Office,West,Technology,Monitor,2367.95,10,0.2,423.42,First Class
ORD-10096,2024-05-19,2024-05-20,CUST-2592,Paul Rodriguez,Consumer,South,Office Supplies,Stapler,601.05,1,0.0,75.79,Same Day
ORD-10097,2023-06-08,2023-06-12,CUST-2622,Dalton Rivera,Corporate,West,Furniture,Bookshelf,3359.02,9,0.3,157.32,First Class
ORD-10098,2023-04-12,2023-04-18,CUST-7018,Diane Thomas,Home Office,East,Technology,Keyboard,1102.0,8,0.1,235.68,Standard Class
ORD-10099,2023-08-06,2023-08-12,CUST-1349,Michael Nelson,Consumer,East,Furniture,Bookshelf,965.25,2,0.3,-74.4,Second Class
ORD-10100,2023-08-27,2023-08-30,CUST-3417,Christopher Duncan,Home Office,North,Technology,Printer,1041.92,9,0.1,152.74,First Class
ORD-10101,2023-01-27,2023-01-29,CUST-1243,James Heath,Corporate,South,Technology,Monitor,2710.27,3,0.0,583.42,First Class
ORD-10102,2023-03-07,2023-03-11,CUST-8344,Philip Saunders,Corporate,North,Technology,Monitor,1341.53,3,0.3,42.29,Same Day
ORD-10103,2023-02-01,2023-02-02,CUST-8847,Lisa Gutierrez,Corporate,West,Office Supplies,Pen,4728.17,1,0.2,305.02,Standard Class
ORD-10104,2023-03-09,2023-03-11,CUST-5505,Reginald French,Home Office,East,Furniture,Sofa,385.98,2,0.2,39.4,Same Day
ORD-10105,2024-12-19,2024-12-20,CUST-4522,Jeremy Barnes,Corporate,West,Office Supplies,Folder,1488.59,9,0.3,-111.95,Second Class
ORD-10106,2023-11-17,2023-11-21,CUST-6120,David Arnold,Home Office,East,Furniture,Bookshelf,4140.55,7,0.3,341.19,First Class
ORD-10107,2024-01-17,2024-01-24,CUST-3131,Rhonda Taylor,Home Office,North,Technology,Mouse,354.32,2,0.0,55.97,First Class
ORD-10108,2024-09-06,2024-09-09,CUST-6761,Raymond Snyder,Consumer,South,Office Supplies,Notebook,2065.83,7,0.0,603.43,Second Class
ORD-10109,2024-01-12,2024-01-13,CUST-5564,Dennis Scott,Home Office,South,Office Supplies,Stapler,1136.74,2,0.2,183.41,Same Day
ORD-10110,2024-11-04,2024-11-11,CUST-5381,Anthony Dawson,Consumer,South,Office Supplies,Folder,3075.59,9,0.0,622.03,First Class
ORD-10111,2023-05-27,2023-06-01,CUST-7566,Linda Cruz,Consumer,South,Office Supplies,Paper,4609.26,6,0.0,439.5,Standard Class
ORD-10112,2024-01-14,2024-01-17,CUST-6314,Maria Henderson,Home Office,North,Technology,Printer,1091.36,7,0.3,-16.13,Standard Class
ORD-10113,2024-11-08,2024-11-12,CUST-8957,David Brown,Home Office,West,Technology,Monitor,3777.09,1,0.0,445.79,Same Day
ORD-10114,2023-10-18,2023-10-24,CUST-8972,Maria Paul,Home Office,East,Furniture,Table,3779.62,2,0.2,217.25,Standard Class
ORD-10115,2023-08-05,2023-08-12,CUST-3248,Becky Ryan,Corporate,East,Technology,Mouse,4922.54,1,0.0,497.7,First Class
ORD-10116,2024-06-29,2024-07-05,CUST-4770,Mark Sanchez,Home Office,East,Technology,Laptop,2496.98,7,0.1,80.64,Standard Class
ORD-10117,2024-08-12,2024-08-16,CUST-7626,Kyle Thompson,Home Office,West,Furniture,Chair,2192.37,8,0.0,582.13,First Class
ORD-10118,2024-09-24,2024-09-28,CUST-6928,Lance Turner,Consumer,West,Technology,Mouse,123.87,6,0.1,24.81,Standard Class
ORD-10119,2023-11-14,2023-11-20,CUST-6562,Theresa Arroyo,Consumer,East,Technology,Mouse,2952.58,9,0.0,439.76,Second Class
ORD-10120,2023-12-24,2023-12-27,CUST-3419,Sharon Little,Consumer,North,Technology,Printer,3173.46,9,0.1,718.73,Second Class
ORD-10121,2024-10-05,2024-10-09,CUST-8601,Timothy Palmer,Home Office,West,Furniture,Table,884.03,3,0.0,83.35,First Class
ORD-10122,2023-11-07,2023-11-14,CUST-5500,Matthew Warner,Home Office,North,Office Supplies,Paper,771.77,2,0.3,8.14,First Class
ORD-10123,2023-10-21,2023-10-22,CUST-2479,Mr. Scott Delgado,Home Office,West,Office Supplies,Notebook,1565.83,8,0.0,100.56,Same Day
ORD-10124,2024-08-08,2024-08-14,CUST-4084,Jonathon Lyons,Corporate,West,Office Supplies,Folder,4772.07,1,0.3,607.31,Second Class
ORD-10125,2023-06-26,2023-06-27,CUST-5059,Eric Villanueva,Home Office,West,Technology,Mouse,535.44,6,0.0,94.31,Same Day
ORD-10126,2024-02-01,2024-02-05,CUST-6543,Leonard Rodriguez,Home Office,North,Office Supplies,Folder,3056.83,6,0.2,548.65,First Class
ORD-10127,2024-11-03,2024-11-08,CUST-3463,Meghan Schwartz,Corporate,North,Technology,Keyboard,490.64,7,0.2,6.38,Second Class
ORD-10128,2023-03-28,2023-03-31,CUST-7171,Jordan Mccoy,Home Office,East,Furniture,Bookshelf,4839.13,7,0.1,719.87,Second Class
ORD-10129,2023-11-13,2023-11-15,CUST-4509,Colleen Cooper,Corporate,West,Office Supplies,Folder,485.4,7,0.2,-22.06,Second Class
ORD-10130,2024-07-06,2024-07-13,CUST-9626,Matthew Robinson,Consumer,East,Technology,Monitor,791.63,5,0.0,140.06,Second Class
ORD-10131,2023-02-14,2023-02-18,CUST-6968,Jeremy Barnes,Home Office,South,Office Supplies,Stapler,788.18,3,0.1,142.11,Same Day
ORD-10132,2023-11-13,2023-11-20,CUST-8684,Rebecca Lawson,Consumer,East,Office Supplies,Paper,3766.91,8,0.1,502.89,Same Day
ORD-10133,2023-07-24,2023-07-31,CUST-3267,Shirley Bennett,Corporate,North,Furniture,Bookshelf,3895.06,9,0.3,551.41,Same Day
ORD-10134,2023-06-14,2023-06-17,CUST-8361,Mary Saunders,Home Office,South,Furniture,Desk,4672.78,9,0.0,566.65,Same Day
ORD-10135,2024-02-10,2024-02-15,CUST-7126,Monica Clark,Consumer,West,Technology,Monitor,4087.18,6,0.0,628.3,Standard Class
ORD-10136,2023-05-21,2023-05-22,CUST-5700,Sarah Barrett,Corporate,South,Furniture,Table,160.37,2,0.2,23.71,Same Day
ORD-10137,2023-06-03,2023-06-08,CUST-9647,Bridget Brown,Corporate,North,Furniture,Desk,46.15,2,0.0,5.26,First Class
ORD-10138,2024-09-29,2024-10-03,CUST-2029,David Burton,Consumer,West,Technology,Keyboard,626.8,4,0.3,37.44,Standard Class
ORD-10139,2024-09-21,2024-09-24,CUST-4941,Stephanie Taylor,Home Office,West,Office Supplies,Folder,2883.74,3,0.2,165.27,Second Class
ORD-10140,2024-07-11,2024-07-16,CUST-9316,Krista Young,Home Office,North,Office Supplies,Notebook,2626.95,6,0.0,757.48,Same Day
ORD-10141,2024-01-01,2024-01-08,CUST-2106,Judy Odonnell,Corporate,South,Furniture,Chair,3185.64,6,0.2,435.89,Standard Class
ORD-10142,2023-06-29,2023-07-06,CUST-8612,Eric Paul,Home Office,West,Office Supplies,Paper,684.38,6,0.2,104.97,Second Class
ORD-10143,2023-02-14,2023-02-21,CUST-4268,Terri Anderson,Consumer,East,Technology,Laptop,3585.9,8,0.0,442.36,First Class
ORD-10144,2024-10-24,2024-10-26,CUST-5687,Jessica Miller,Corporate,North,Office Supplies,Stapler,4945.83,9,0.3,-181.37,First Class
ORD-10145,2024-01-31,2024-02-03,CUST-4060,Mrs. Lauren Mccoy,Corporate,West,Furniture,Chair,4000.73,7,0.3,343.37,First Class
ORD-10146,2023-07-04,2023-07-09,CUST-5813,Paula Morgan,Corporate,North,Office Supplies,Paper,4009.72,7,0.0,632.14,Standard Class
ORD-10147,2024-03-30,2024-04-02,CUST-8325,Robert Martin,Consumer,East,Furniture,Bookshelf,1546.35,10,0.3,-90.21,Same Day
ORD-10148,2024-11-26,2024-11-28,CUST-1510,Charles Clark,Consumer,West,Furniture,Chair,393.71,7,0.2,30.82,Standard Class
ORD-10149,2024-08-03,2024-08-04,CUST-3513,Christopher West,Home Office,West,Technology,Laptop,1195.26,6,0.2,54.64,First Class
ORD-10150,2024-02-12,2024-02-15,CUST-5566,Sandra Andersen,Consumer,North,Furniture,Sofa,3820.16,10,0.1,505.66,Standard Class
ORD-10151,2023-09-24,2023-09-30,CUST-8311,Wendy Collier,Consumer,East,Office Supplies,Pen,2505.24,7,0.0,289.22,Same Day
ORD-10152,2024-12-31,2025-01-04,CUST-2438,Jennifer Williams,Home Office,East,Technology,Laptop,695.93,2,0.3,-39.55,First Class
ORD-10153,2024-12-29,2025-01-04,CUST-3852,Andrea Ford,Corporate,South,Office Supplies,Notebook,2758.99,5,0.2,449.28,Standard Class
ORD-10154,2024-08-09,2024-08-12,CUST-8657,Jill Greene,Home Office,South,Technology,Monitor,1198.95,8,0.0,168.12,Standard Class
ORD-10155,2024-08-11,2024-08-12,CUST-3053,Connie Schmidt,Corporate,North,Technology,Keyboard,2002.84,8,0.3,184.84,Same Day
ORD-10156,2023-05-13,2023-05-17,CUST-9238,Robert Green,Consumer,North,Furniture,Desk,1735.68,9,0.1,333.16,Second Class
ORD-10157,2024-06-15,2024-06-18,CUST-2292,Curtis Moore,Corporate,South,Furniture,Table,826.6,4,0.2,154.47,First Class
ORD-10158,2024-08-17,2024-08-19,CUST-3804,Seth Francis,Home Office,East,Technology,Keyboard,3079.85,2,0.1,455.67,Standard Class
ORD-10159,2024-08-08,2024-08-12,CUST-1496,Ashley Holden,Corporate,East,Technology,Laptop,246.4,10,0.2,27.79,First Class
ORD-10160,2024-12-06,2024-12-07,CUST-3589,Mary Jackson,Corporate,West,Furniture,Table,4027.35,7,0.2,255.28,Same Day
ORD-10161,2023-11-23,2023-11-29,CUST-6658,Willie Wilson,Corporate,South,Furniture,Table,1714.16,3,0.2,283.47,First Class
ORD-10162,2024-04-05,2024-04-07,CUST-3308,Chris Schmitt,Consumer,North,Office Supplies,Folder,548.8,4,0.3,-38.07,First Class
ORD-10163,2023-11-17,2023-11-19,CUST-3610,Stephanie Wyatt,Corporate,West,Furniture,Desk,2102.31,3,0.2,385.64,Same Day
ORD-10164,2023-08-09,2023-08-14,CUST-6781,Amy Fritz,Consumer,North,Furniture,Sofa,135.42,7,0.3,19.19,First Class
ORD-10165,2023-04-21,2023-04-25,CUST-3194,Michael Simmons,Corporate,East,Furniture,Desk,4414.05,8,0.2,371.54,Same Day
ORD-10166,2023-10-23,2023-10-24,CUST-7329,Anthony Hayes,Home Office,West,Furniture,Chair,2014.9,10,0.1,182.61,First Class
ORD-10167,2023-12-14,2023-12-19,CUST-6990,Lori Rose,Consumer,South,Office Supplies,Folder,611.68,2,0.3,-4.1,Same Day
ORD-10168,2024-06-15,2024-06-19,CUST-3440,Veronica Stewart,Home Office,South,Office Supplies,Notebook,245.61,3,0.2,37.09,First Class
ORD-10169,2024-06-03,2024-06-10,CUST-9351,Cory Johnson,Home Office,West,Office Supplies,Paper,829.26,10,0.2,81.63,First Class
ORD-10170,2024-12-05,2024-12-11,CUST-1436,Charles Hunter,Home Office,West,Furniture,Chair,1854.42,2,0.3,85.17,First Class
ORD-10171,2024-10-06,2024-10-12,CUST-7229,Melinda Trevino,Consumer,South,Office Supplies,Folder,2896.62,1,0.3,-166.18,Standard Class
ORD-10172,2024-02-27,2024-03-04,CUST-4340,Natasha Davidson,Corporate,West,Office Supplies,Notebook,970.11,8,0.2,53.06,Standard Class
ORD-10173,2024-05-04,2024-05-09,CUST-7173,Barbara Parks,Corporate,South,Office Supplies,Pen,2603.04,9,0.2,519.39,Same Day
ORD-10174,2023-09-10,2023-09-13,CUST-5890,Mr. Dustin Peterson,Consumer,East,Office Supplies,Paper,2740.44,5,0.3,-142.32,First Class
ORD-10175,2024-07-27,2024-08-03,CUST-5480,Lisa Mitchell,Corporate,North,Office Supplies,Pen,3457.39,8,0.2,241.85,Same Day
ORD-10176,2023-03-22,2023-03-25,CUST-8247,Melissa Flores,Home Office,East,Furniture,Bookshelf,4773.95,3,0.2,-188.49,Same Day
ORD-10177,2024-09-22,2024-09-28,CUST-4920,Joy Moore,Consumer,North,Technology,Monitor,4143.2,5,0.2,-64.97,Second Class
ORD-10178,2023-04-13,2023-04-19,CUST-3252,Nancy Andersen,Consumer,South,Office Supplies,Pen,281.41,7,0.2,36.4,Same Day
ORD-10179,2024-10-23,2024-10-24,CUST-2465,Chelsea Johnson,Home Office,South,Office Supplies,Stapler,2397.69,4,0.2,72.63,Standard Class
ORD-10180,2024-02-11,2024-02-18,CUST-9116,Miguel Benson,Consumer,East,Technology,Mouse,4413.58,3,0.0,1320.95,Standard Class
ORD-10181,2024-10-18,2024-10-23,CUST-9590,Brittany Webster,Corporate,South,Technology,Keyboard,2848.45,2,0.2,60.22,Same Day
ORD-10182,2024-10-25,2024-10-28,CUST-4050,Robert Smith,Consumer,East,Furniture,Table,4047.89,6,0.1,739.87,First Class
ORD-10183,2023-03-30,2023-04-03,CUST-2562,Emma Hill,Consumer,South,Office Supplies,Pen,893.96,7,0.3,25.76,Same Day
ORD-10184,2023-10-01,2023-10-04,CUST-5947,Patrick Knight,Home Office,North,Furniture,Table,54.01,7,0.1,6.03,First Class
ORD-10185,2023-06-13,2023-06-17,CUST-9233,Kelly Marquez,Home Office,East,Office Supplies,Paper,3469.99,1,0.0,577.23,Standard Class
ORD-10186,2024-05-04,2024-05-06,CUST-8454,Julie Perez,Home Office,East,Office Supplies,Paper,1850.37,4,0.1,442.87,Same Day
ORD-10187,2024-11-27,2024-12-04,CUST-2341,Danielle Russell MD,Home Office,West,Office Supplies,Folder,4565.73,9,0.1,869.61,First Class
ORD-10188,2023-06-03,2023-06-05,CUST-6375,Daniel Brown,Home Office,West,Technology,Printer,578.8,9,0.1,82.87,Standard Class
